,No
CID000004543,0
CID000003793,1
CID000002405,2
CID000003403,3
CID000003339,4
CID000003823,5
CID000005656,6
CID000002551,7
CID000060843,8
CID000077999,9
CID000005466,10
CID000003827,11
CID000003736,12
CID000003345,13
CID000003962,14
CID000000214,15
CID005311181,16
CID000002541,17
CID000150311,18
CID000005253,19
CID000667490,20
CID005329102,21
CID000004189,22
CID000012620,23
CID000216326,24
CID000001117,25
CID000003749,26
CID000004195,27
CID000003750,28
CID000002578,29
CID000004595,30
CID000004510,31
CID000123606,32
CID000003114,33
CID000130881,34
CID000004691,35
CID000003404,36
CID000060953,37
CID000060184,38
CID000002978,39
CID000054841,40
CID000004873,41
CID000048175,42
CID000002435,43
CID000003639,44
CID000004506,45
CID000444013,46
CID000004044,47
CID000003937,48
CID000003899,49
CID000003954,50
CID000004463,51
CID000004178,52
CID000003929,53
CID000004614,54
CID000005647,55
CID000003767,56
CID000060787,57
CID000003449,58
CID000005358,59
CID000002265,60
CID000005040,61
CID000041774,62
CID000004674,63
CID000002269,64
CID000005206,65
CID005282226,66
CID000004075,67
CID000005584,68
CID000001983,69
CID000002250,70
CID000002732,71
CID005353980,72
CID000000942,73
CID000002471,74
CID000000815,75
CID000003958,76
CID000059708,77
CID000036339,78
CID000003279,79
CID000002550,80
CID000003157,81
CID000002802,82
CID000051263,83
CID000003730,84
CID000003741,85
CID000002249,86
CID000024486,87
CID000003117,88
CID000003385,89
CID000060696,90
CID000036811,91
CID000005291,92
CID000003384,93
CID000001972,94
CID000003016,95
CID000056339,96
CID000002622,97
CID000002284,98
CID000005352,99
CID000213039,100
CID000027991,101
CID000004054,102
CID000003562,103
CID000005731,104
CID000001206,105
CID000001690,106
CID000005029,107
CID000003640,108
CID000125889,109
CID000004834,110
CID000005721,111
CID000002650,112
CID000002267,113
CID000002806,114
CID000004212,115
CID000005453,116
CID000004736,117
CID000005454,118
CID000060854,119
CID000074989,120
CID000005593,121
CID000003642,122
CID005493381,123
CID000002895,124
CID000072467,125
CID000024011,126
CID000003410,127
CID000002142,128
CID000005070,129
CID000004264,130
CID000003488,131
CID000004158,132
CID000002474,133
CID000001046,134
CID000004411,135
CID000123620,136
CID000003763,137
CID000003042,138
CID000004991,139
CID000002727,140
CID000004091,141
CID000005482,142
CID000004259,143
CID000002370,144
CID000005978,145
CID000002019,146
CID000000598,147
CID000005038,148
CID000057469,149
CID000004723,150
CID000001986,151
CID000003696,152
CID000002973,153
CID000004727,154
CID000000450,155
CID000056959,156
CID000003902,157
CID000060198,158
CID000004011,159
CID000003040,160
CID000002088,161
CID000087177,162
CID000005073,163
CID000004205,164
CID000002375,165
CID000004828,166
CID000003381,167
CID000054374,168
CID000005530,169
CID000004594,170
CID000003365,171
CID000041693,172
CID000005064,173
CID000004635,174
CID000004679,175
CID000002818,176
CID000124087,177
CID000041781,178
CID000005401,179
CID000072054,180
CID000002130,181
CID000004425,182
CID000091270,183
CID000002153,184
CID000001775,185
CID000002803,186
CID000002512,187
CID000004236,188
CID004659569,189
CID000003559,190
CID000000159,191
CID000003066,192
CID000125017,193
CID000042113,194
CID000054786,195
CID000000596,196
CID000005402,197
CID000003278,198
CID000002554,199
CID000004666,200
CID000004583,201
CID005281007,202
CID000004927,203
CID000005002,204
CID000002476,205
CID000005556,206
CID000003394,207
CID000002308,208
CID000004253,209
CID000004771,210
CID000005078,211
CID000003961,212
CID000003675,213
CID000003379,214
CID000004845,215
CID006918453,216
CID000060852,217
CID000002585,218
CID000002658,219
CID000005771,220
CID000004911,221
CID000005734,222
CID000005538,223
CID000003405,224
CID000004539,225
CID000057537,226
CID000004192,227
CID000071273,228
CID000444033,229
CID000004909,230
CID000002712,231
CID000005195,232
CID000002522,233
CID000002173,234
CID000003467,235
CID000002487,236
CID000008953,237
CID000000838,238
CID000004819,239
CID000004829,240
CID000002756,241
CID000156419,242
CID000039860,243
CID000002311,244
CID000005052,245
CID000003780,246
CID000003928,247
CID000003355,248
CID000002182,249
CID000004607,250
CID000060795,251
CID000004064,252
CID000657298,253
CID000005203,254
CID000001071,255
CID000001134,256
CID000005394,257
CID000104741,258
CID000002786,259
CID006447131,260
CID000003043,261
CID000002283,262
CID000038904,263
CID000004547,264
CID000122316,265
CID003002190,266
CID000004513,267
CID000005039,268
CID000004140,269
CID005381226,270
CID000002631,271
CID000060835,272
CID000005523,273
CID000003463,274
CID000002617,275
CID004479097,276
CID000176870,277
CID000068740,278
CID000005245,279
CID000004603,280
CID000000581,281
CID000002909,282
CID000003869,283
CID000000085,284
CID000003957,285
CID000000158,286
CID000131536,287
CID005311027,288
CID000001978,289
CID000000119,290
CID000071329,291
CID000003261,292
CID000150610,293
CID000000298,294
CID000004052,295
CID000005505,296
CID000039765,297
CID000002171,298
CID000000271,299
CID000060877,300
CID000003121,301
CID000003746,302
CID000003367,303
CID000005878,304
CID000003158,305
CID005481350,306
CID000002244,307
CID000005234,308
CID000003911,309
CID000004409,310
CID000002141,311
CID000004536,312
CID000003734,313
CID000004946,314
CID000005267,315
CID005311039,316
CID006436173,317
CID001349907,318
CID000119182,319
CID000002266,320
CID000034312,321
CID000002812,322
CID003086258,323
CID000054808,324
CID000002656,325
CID000004499,326
CID000004473,327
CID000003108,328
CID000003154,329
CID000004599,330
CID000005210,331
CID000002162,332
CID000002764,333
CID000003003,334
CID000003310,335
CID000003350,336
CID000005184,337
CID000000853,338
CID000065999,339
CID000002637,340
CID000002891,341
CID000003419,342
CID000000191,343
CID000002949,344
CID000072938,345
CID000003964,346
CID000028112,347
