,No
scratch,0
scleral pigmentation,1
haemophilus infection,2
post transplant distal limb syndrome,3
chest x-ray abnormal,4
peroneal muscular atrophy,5
dolichocolon acquired,6
schamberg's disease,7
ischaemic stroke,8
hormone therapy,9
urinary tract disorder,10
clostridial infection,11
pelvic kidney,12
soft tissue injuries,13
vertigo positional,14
gastric ileus,15
anal polyp,16
oesophagectomy,17
visual brightness,18
thyroid mass,19
hypernatraemia,20
benign colonic polyp,21
melas syndrome,22
radius fracture,23
plasma cells increased,24
genital discharge,25
carcinoma in situ of bladder,26
bone marrow myelogram abnormal,27
perineal laceration,28
hepatobiliary infection,29
toxic anterior segment syndrome,30
haemolysis,31
bradyarrhythmia,32
clostridium difficile sepsis,33
progesterone receptor assay negative,34
contact lens intolerance,35
blood copper increased,36
tracheal operation,37
cystoid macular oedema,38
heart disease congenital,39
concomitant disease progression,40
joint ligament rupture,41
postmenopausal bleeding,42
epigastric discomfort,43
elderly,44
hypoglossal nerve paresis,45
tracheal diverticulum,46
phrenic nerve paralysis,47
orbital apex syndrome,48
oropharyngitis fungal,49
endarterectomy,50
urinary abnormalities,51
hepatic enzyme increased,52
implant site infection,53
tracheitis,54
thyroid gland scan abnormal,55
hypotrichosis,56
lung adenocarcinoma stage i,57
cushingoid,58
maternal alcohol use,59
sternal fracture,60
sarcopenia,61
biopsy site unspecified abnormal,62
metastases to gastrointestinal tract,63
venous angioma of brain,64
disease recurrence,65
adrenocortical insufficiency acute,66
endometrial ablation,67
salpingo-oophorectomy,68
urine uric acid decreased,69
blood immunoglobulin e abnormal,70
mediastinal haemorrhage,71
suture line infection,72
drug therapeutic incompatibility,73
aortic aneurysm repair,74
cardiac pacemaker malfunction,75
endoscopy,76
chemical poisoning,77
infantile colic,78
drug tolerance increased,79
bronchopneumopathy,80
abdominal mass,81
bradycardia foetal,82
chromatopsia,83
injection site papule,84
enterobacter pneumonia,85
blood pressure systolic inspiratory decreased,86
spasmodic dysphonia,87
aspiration pleural cavity abnormal,88
arthropod bite,89
albumin globulin ratio increased,90
fear of crowded places,91
faecal vomiting,92
somogyi phenomenon,93
subdural haemorrhage,94
anticholinergic syndrome,95
hepatic cyst infection,96
alveoloplasty,97
pressure of speech,98
injection site swelling,99
type iii hyperlipidaemia,100
carbohydrate tolerance decreased,101
sensation of heaviness,102
splenitis,103
antibody test abnormal,104
hepatic candidiasis,105
fatigue,106
synovial sarcoma,107
retroplacental haematoma,108
allergy to chemicals,109
engraftment syndrome,110
spinal manipulation,111
blood ketone body decreased,112
disorder retinal,113
small intestinal obstruction,114
haematemesis,115
congenital facial nerve hypoplasia,116
colour vision tests abnormal,117
amylase increased,118
bloody peritoneal effluent,119
bronchomalacia,120
dysgeusia,121
deafness bilateral,122
distal intestinal obstruction syndrome,123
sedative therapy,124
haematocrit abnormal,125
urine leukocyte esterase,126
intestinal diaphragm disease,127
infantile spasms,128
cyst removal,129
necrosis,130
end stage aids,131
antidepressant drug level,132
homicide,133
bilirubin conjugated increased,134
breech presentation,135
cardiovascular insufficiency,136
urogenital fistula,137
tooth erosion,138
gastrointestinal dysplasia,139
von willebrand's disease,140
parkinsonian rest tremor,141
anosognosia,142
convulsions grand mal,143
gallbladder necrosis,144
radiation injury,145
gastrointestinal necrosis,146
vitreous disorder,147
infected bites,148
respiratory syncytial virus test positive,149
tyramine reaction,150
renal artery arteriosclerosis,151
metastases to diaphragm,152
infective spondylitis,153
peritoneal fluid analysis,154
anal infection,155
post traumatic stress disorder,156
lymphangiosis carcinomatosa,157
electrocardiogram st-t segment elevation,158
cerebellar syndrome,159
white blood cells stool positive,160
sebaceous hyperplasia,161
t-lymphocyte count increased,162
eosinophilic colitis,163
fractured sacrum,164
sinus bradycardia,165
ventricular dysfunction,166
haematoma infection,167
nervous tension,168
progressive external ophthalmoplegia,169
keratitis,170
nail infection,171
aortic valve replacement,172
metabolic disorder,173
beta-n-acetyl-d-glucosaminidase increased,174
skin degenerative disorder,175
bacteria body fluid identified,176
campylobacter gastroenteritis,177
hypothyroidism postoperative,178
oedema peripheral,179
vaginal erythema,180
respiratory tract malformation,181
chondritis,182
periodontitis,183
csf protein abnormal,184
blood immunoglobulin g decreased,185
pulmonary sepsis,186
lower respiratory tract infection viral,187
arterial repair,188
leukaemic infiltration brain,189
microvascular angina,190
autoantibody positive,191
migraine,192
hypogonadism,193
graft haemorrhage,194
laryngotracheo bronchitis,195
prothrombin time ratio decreased,196
arteriovenous fistula site complication,197
acute graft versus host disease,198
acute pancreatitis,199
electrocardiogram abnormal,200
ex-smoker,201
atrioventricular block first degree,202
productive cough,203
hypotonia,204
splenic haemorrhage,205
pubic pain,206
nasal mucosal disorder,207
angelman's syndrome,208
post abortion infection,209
gastroduodenal haemorrhage,210
laboratory test interference,211
agitated depression,212
tertiary syphilis,213
pupillary deformity,214
colectomy partial,215
intestinal stoma complication,216
hyperphosphatasaemia,217
venous pressure jugular abnormal,218
bladder catheter replacement,219
pulmonary interstitial emphysema syndrome,220
eruption,221
paradoxical drug reaction,222
kidney malformation,223
penile operation,224
necrotising ulcerative gingivostomatitis,225
retinitis viral,226
abscess jaw,227
attention-seeking behaviour,228
testicular operation,229
local anaesthesia,230
fibroids,231
drug tolerance,232
tuberculosis test positive,233
intestinal spasm,234
anaphylactic shock,235
uterine cervix hypertrophy,236
hepatosplenic t-cell lymphoma,237
sunct syndrome,238
intracranial haemangioma,239
csf protein decreased,240
child neglect,241
adrenal insufficiency,242
small intestinal haemorrhage,243
total lung capacity decreased,244
catheter related complication,245
leukaemic infiltration hepatic,246
skin lesion,247
mitral valve incompetence,248
sinusitis fungal,249
macrophages increased,250
diabetic complication,251
thyroiditis,252
beta-2 glycoprotein antibody positive,253
endometriosis,254
argininosuccinate synthetase deficiency,255
cardiolipin antibody,256
red blood cell spherocytes present,257
ciliary muscle spasm,258
application site erythema,259
skin infection,260
central nervous system leukaemia,261
gastric hypermotility,262
ventricular pre-excitation,263
mycobacterial infection,264
dermatitis papillaris capillitii,265
waist circumference increased,266
precancerous skin lesion,267
emergency care,268
faeces hard,269
foetal disorder,270
blood pressure orthostatic increased,271
osteonecrosis of jaw,272
histone antibody positive,273
pseudoporphyria,274
cardiac decompensation,275
benign uterine neoplasm,276
short-bowel syndrome,277
complication of pregnancy,278
chitotriosidase decreased,279
choroidal effusion,280
birth defect,281
uterine inflammation,282
amoebic dysentery,283
clostridium colitis,284
diabetes,285
tandem gait test abnormal,286
csf granulocyte count abnormal,287
camptodactyly acquired,288
vitreous prolapse,289
fall,290
iris hyperpigmentation,291
benign biliary neoplasm,292
epididymitis,293
decreased activity,294
pleural mesothelioma,295
gallbladder abscess,296
persistent foetal circulation,297
adenovirus infection,298
herpetic gingivostomatitis,299
aplasia,300
mediastinoscopy,301
bowel movement irregularity,302
surgery,303
psoriatic arthritis,304
cryofibrinogenaemia,305
exophthalmos,306
generalised erythema,307
cervical cord compression,308
nail growth abnormal,309
t-cell prolymphocytic leukaemia,310
axillary vein thrombosis,311
edema extremities,312
excessive exercise,313
blood cholesterol decreased,314
conjunctival abrasion,315
blood caffeine increased,316
accidental death,317
congenital arterial malformation,318
oral mucosa atrophy,319
bladder suspension,320
skin injury,321
bladder calculus removal,322
chronic ulcerative colitis,323
groin pain,324
spinal deformity,325
brain stem infarction,326
trisomy 17,327
iliotibial band syndrome,328
group b streptococcus neonatal sepsis,329
pulmonary oedema,330
abdominal injury,331
fibromyalgia,332
infusion site reactions,333
basilar artery occlusion,334
female sexual dysfunction,335
lipogranuloma,336
akinaesthesia,337
ear deformity acquired,338
conductive keratoplasty,339
esophageal ulcer,340
genital infection fungal,341
skin burning sensation,342
congenital optic nerve anomaly,343
copper metabolism disorder,344
pelvic congestion,345
wound closure,346
sinus disorder,347
costochondritis,348
benign oesophageal neoplasm,349
diabetic eye disease,350
hysteroscopy,351
renal artery thrombosis,352
hypogammaglobulinaemia,353
vascular resistance systemic increased,354
penile size reduced,355
retinal dystrophy,356
iris coloboma,357
gastroenteritis escherichia coli,358
gastroschisis,359
congenital hair disorder,360
type ii hypersensitivity,361
hepatic neoplasia,362
cryptococcosis,363
hellp syndrome,364
haemorrhagic transformation stroke,365
vascular cauterisation,366
streptococcal serology,367
blood insulin abnormal,368
chondromalacia,369
radial pulse decreased,370
mucosal atrophy,371
amniocentesis abnormal,372
hyperoxia,373
skeletal survey abnormal,374
hypereosinophilic syndrome,375
sulphaemoglobinaemia,376
lumbar vertebra injury,377
rectal perforation,378
calculus urinary,379
graft versus host disease,380
charles bonnet syndrome,381
helicobacter pylori identification test positive,382
apparent life threatening event,383
hypopituitarism foetal,384
adhesiolysis,385
meconium in amniotic fluid,386
pneumonitis chemical,387
vitritis,388
underweight,389
gastroduodenal ulcer,390
vulval ulceration,391
postural orthostatic tachycardia syndrome,392
vascular graft,393
gingival disorder,394
melanoderma,395
application site oedema,396
mass,397
diabetic cardiomyopathy,398
csf mononuclear cell count increased,399
myocarditis,400
depressive symptom,401
growth retardation,402
apical granuloma,403
congenital joint malformation,404
body temperature fluctuation,405
gastric cancer recurrent,406
right atrial pressure increased,407
cytology abnormal,408
foetal heart rate abnormal,409
vomiting psychogenic,410
hyperphosphatemia,411
dependence,412
sydenham's chorea,413
peritoneal effluent leukocyte count increased,414
oestriol abnormal,415
congenital nystagmus,416
herpes zoster disseminated,417
infected epidermal cyst,418
gastrointestinal pain,419
facial nerve disorder,420
hyaluronic acid increased,421
electrocardiogram u-wave abnormality,422
eye irritation,423
hypertrophic anal papilla,424
cystitis,425
radiotherapy,426
cholera,427
sputum test,428
neonatal cardiac failure,429
hepatic pain,430
diabetic blindness,431
detachment of retinal pigment epithelium,432
sputum abnormal,433
mechanical ventilation,434
intestinal strangulation,435
iris neovascularisation,436
diabetic neuropathy,437
bronchitis acute viral,438
mesenteric panniculitis,439
systemic sclerosis pulmonary,440
vitamin b12 decreased,441
emesis,442
arteriovenous shunt operation,443
mitral valve disease nos,444
failed induction of labour,445
myiasis,446
scrotal oedema,447
lack of spontaneous speech,448
genital ulceration,449
male sexual dysfunction,450
nuchal rigidity,451
incision site complication,452
infection urinary tract,453
normochromic normocytic anaemia,454
gingival hypertrophy,455
retinal toxicity,456
haemorrhagic erosive gastritis,457
intercapillary glomerulosclerosis,458
bone cancer metastatic,459
residual urine,460
stasis dermatitis,461
giant cell tumour of tendon sheath,462
exercise capacity decreased,463
keratomileusis,464
upper respiratory tract infection bacterial,465
hodgkin's disease mixed cellularity stage iii,466
metastases to abdominal wall,467
stroke in evolution,468
spider vein,469
forced expiratory volume abnormal,470
macular vasospasm,471
signet-ring cell carcinoma,472
aspiration joint,473
optic neuropathy,474
iron binding capacity total decreased,475
enterocutaneous fistula,476
wernicke-korsakoff syndrome,477
appendiceal abscess,478
"2',5'-oligoadenylate synthetase test increased",479
neonatal respiratory distress syndrome,480
breast cancer stage ii,481
atherosclerosis,482
metastases to fallopian tube,483
"inguinal hernia, obstructive",484
breath sounds absent,485
hyperglycaemic hyperosmolar nonketotic syndrome,486
osteoma cutis,487
rhabdomyosarcoma recurrent,488
hypoglycaemic encephalopathy,489
leukaemia cutis,490
leukoerythroblastic anaemia,491
cystitis glandularis,492
congenital myopathy,493
oesophageal operation,494
femoral arterial stenosis,495
fungal oesophagitis,496
pleuropericarditis,497
haemostasis,498
cerebrovascular stenosis,499
radiculitis brachial,500
multiple myeloma,501
coombs test negative,502
aerophagia,503
vasculitis,504
prolapse repair,505
blood glucose increased,506
arthrofibrosis,507
blood immunoglobulin g abnormal,508
laryngeal discomfort,509
uterine hypotonus,510
ureteric cancer,511
infusion site haemorrhage,512
fraction of inspired oxygen,513
pancreatic abscess,514
haemangioma,515
natural killer-cell leukaemia,516
fungal test positive,517
arterial therapeutic procedure,518
anastomotic haemorrhage,519
cardiac amyloidosis,520
drug effect delayed,521
scleral operation,522
intestinal congestion,523
crying,524
