,STITCH,Gene
0,CID000003488,1559
1,CID000003488,8647
2,CID000077992,3351
3,CID000077992,3350
4,CID000077992,3352
5,CID000002083,1269
6,CID000002083,124274
7,CID000002083,2849
8,CID000002083,2847
9,CID000002083,2844
10,CID000002083,2845
11,CID000002083,2842
12,CID000002083,54112
13,CID000002083,136
14,CID000002083,135
15,CID000002083,134
16,CID000002083,10692
17,CID000002083,9287
18,CID000002083,9283
19,CID000002083,4985
20,CID000002083,4987
21,CID000002083,10663
22,CID000002083,4988
23,CID000002083,27201
24,CID000002083,4889
25,CID000002083,221391
26,CID000002083,2850
27,CID000002083,84539
28,CID000002083,84634
29,CID000002083,4887
30,CID000002083,54329
31,CID000002083,54328
32,CID000002083,10886
33,CID000002083,10887
34,CID000002083,729230
35,CID000002083,23566
36,CID000002083,10888
37,CID000002083,9170
38,CID000002083,6010
39,CID000002083,56923
40,CID000002083,2798
41,CID000002083,128674
42,CID000002083,10803
43,CID000002083,319100
44,CID000002083,23596
45,CID000002083,94233
46,CID000002083,3274
47,CID000002083,285601
48,CID000002083,2827
49,CID000002083,53831
50,CID000002083,1902
51,CID000002083,338557
52,CID000002083,1234
53,CID000002083,1230
54,CID000002083,1813
55,CID000002083,1232
56,CID000002083,1233
57,CID000002083,1238
58,CID000002083,2837
59,CID000002083,2835
60,CID000002083,2834
61,CID000002083,2832
62,CID000002083,2831
63,CID000002083,2830
64,CID000002083,344561
65,CID000002083,2652
66,CID000002083,3354
67,CID000002083,5737
68,CID000002083,1241
69,CID000002083,8811
70,CID000002083,3351
71,CID000002083,83550
72,CID000002083,3350
73,CID000002083,623
74,CID000002083,2861
75,CID000002083,64106
76,CID000002083,3352
77,CID000002083,339403
78,CID000002083,153
79,CID000002083,7852
80,CID000002083,83873
81,CID000002083,152
82,CID000002083,155
83,CID000002083,9038
84,CID000002083,134864
85,CID000002083,64582
86,CID000002083,4829
87,CID000002083,5540
88,CID000002083,3361
89,CID000002083,3362
90,CID000002083,3363
91,CID000002083,186
92,CID000002083,187
93,CID000002083,185
94,CID000002083,2587
95,CID000002083,9293
96,CID000002083,5021
97,CID000002083,57007
98,CID000002083,4986
99,CID000002083,118442
100,CID000002083,8477
101,CID000002083,4157
102,CID000002083,84109
103,CID000002083,2925
104,CID000002083,5956
105,CID000002083,6752
