STITCH,Gene,No_drug,No_gene
CID000003488,1559,131.0,1171.0
CID000003488,8647,131.0,6204.0
CID000077992,3351,535.0,2418.0
CID000077992,3350,535.0,2417.0
CID000077992,3352,535.0,2419.0
CID000002083,1269,539.0,958.0
CID000002083,124274,539.0,16901.0
CID000002083,2849,539.0,2017.0
CID000002083,2847,539.0,2015.0
CID000002083,2844,539.0,2012.0
CID000002083,2845,539.0,2013.0
CID000002083,2842,539.0,2010.0
CID000002083,54112,539.0,14956.0
CID000002083,136,539.0,97.0
CID000002083,135,539.0,98.0
CID000002083,134,539.0,95.0
CID000002083,10692,539.0,7915.0
CID000002083,9287,539.0,6710.0
CID000002083,9283,539.0,6708.0
CID000002083,4985,539.0,3567.0
CID000002083,4987,539.0,3571.0
CID000002083,10663,539.0,7893.0
CID000002083,4988,539.0,3570.0
CID000002083,27201,539.0,12801.0
CID000002083,4889,539.0,3504.0
CID000002083,221391,539.0,11917.0
CID000002083,2850,539.0,2018.0
CID000002083,84539,539.0,10181.0
CID000002083,84634,539.0,10220.0
CID000002083,4887,539.0,3503.0
CID000002083,54329,539.0,14986.0
CID000002083,54328,539.0,14985.0
CID000002083,10886,539.0,8050.0
CID000002083,10887,539.0,8051.0
CID000002083,729230,539.0,5950.0
CID000002083,23566,539.0,11609.0
CID000002083,10888,539.0,8052.0
CID000002083,9170,539.0,6622.0
CID000002083,6010,539.0,4374.0
CID000002083,56923,539.0,16239.0
CID000002083,2798,539.0,1973.0
CID000002083,128674,539.0,17551.0
CID000002083,10803,539.0,7993.0
CID000002083,319100,539.0,16266.0
CID000002083,23596,539.0,11633.0
CID000002083,94233,539.0,13038.0
CID000002083,3274,539.0,2365.0
CID000002083,285601,539.0,11507.0
CID000002083,2827,539.0,1997.0
CID000002083,53831,539.0,14902.0
CID000002083,1902,539.0,1415.0
CID000002083,338557,539.0,8041.0
CID000002083,1234,539.0,937.0
CID000002083,1230,539.0,933.0
CID000002083,1813,539.0,1351.0
CID000002083,1232,539.0,935.0
CID000002083,1233,539.0,936.0
CID000002083,1238,539.0,941.0
CID000002083,2837,539.0,2006.0
CID000002083,2835,539.0,2005.0
CID000002083,2834,539.0,2004.0
CID000002083,2832,539.0,2002.0
CID000002083,2831,539.0,2001.0
CID000002083,2830,539.0,2000.0
CID000002083,344561,539.0,9643.0
CID000002083,2652,539.0,1873.0
CID000002083,3354,539.0,2420.0
CID000002083,5737,539.0,4167.0
CID000002083,1241,539.0,943.0
CID000002083,8811,539.0,6343.0
CID000002083,3351,539.0,2418.0
CID000002083,83550,539.0,9765.0
CID000002083,3350,539.0,2417.0
CID000002083,623,539.0,469.0
CID000002083,2861,539.0,2025.0
CID000002083,64106,539.0,17738.0
CID000002083,3352,539.0,2419.0
CID000002083,339403,539.0,8465.0
CID000002083,153,539.0,109.0
CID000002083,7852,539.0,5746.0
CID000002083,83873,539.0,9862.0
CID000002083,152,539.0,108.0
CID000002083,155,539.0,111.0
CID000002083,9038,539.0,6507.0
CID000002083,134864,539.0,2738.0
