Disease ID,Disease Name,Gene ID,No_side,No_gene
C0033860,psoriasis,100271719,1561.0,1233.0
C0033860,psoriasis,10318,1561.0,7608.0
C0033860,psoriasis,10498,1561.0,7753.0
C0033860,psoriasis,10547,1561.0,7788.0
C0033860,psoriasis,10758,1561.0,7959.0
C0033860,psoriasis,10866,1561.0,8030.0
C0033860,psoriasis,117289,1561.0,14762.0
C0033860,psoriasis,125893,1561.0,17123.0
C0033860,psoriasis,1356,1561.0,1016.0
C0033860,psoriasis,1401,1561.0,1055.0
C0033860,psoriasis,140454,1561.0,6787.0
C0033860,psoriasis,1437,1561.0,1080.0
C0033860,psoriasis,149233,1561.0,9808.0
C0033860,psoriasis,163702,1561.0,13422.0
C0033860,psoriasis,23586,1561.0,11622.0
C0033860,psoriasis,2524,1561.0,1774.0
C0033860,psoriasis,2706,1561.0,1913.0
C0033860,psoriasis,285626,1561.0,11535.0
C0033860,psoriasis,29785,1561.0,13187.0
C0033860,psoriasis,3107,1561.0,2231.0
C0033860,psoriasis,338442,1561.0,7961.0
C0033860,psoriasis,348,1561.0,258.0
C0033860,psoriasis,353143,1561.0,12044.0
C0033860,psoriasis,353144,1561.0,12045.0
C0033860,psoriasis,3553,1561.0,2534.0
C0033860,psoriasis,3565,1561.0,2546.0
C0033860,psoriasis,3569,1561.0,2550.0
C0033860,psoriasis,3593,1561.0,2569.0
C0033860,psoriasis,3596,1561.0,2572.0
C0033860,psoriasis,359825,1561.0,13402.0
C0033860,psoriasis,400957,1561.0,5684.0
C0033860,psoriasis,4288,1561.0,3107.0
C0033860,psoriasis,4792,1561.0,3423.0
C0033860,psoriasis,4843,1561.0,3463.0
C0033860,psoriasis,503613,1561.0,13664.0
C0033860,psoriasis,5111,1561.0,3666.0
C0033860,psoriasis,51561,1561.0,14641.0
C0033860,psoriasis,51752,1561.0,14761.0
C0033860,psoriasis,5271,1561.0,3796.0
C0033860,psoriasis,54620,1561.0,15109.0
C0033860,psoriasis,5468,1561.0,3950.0
C0033860,psoriasis,55350,1561.0,15631.0
C0033860,psoriasis,55770,1561.0,15883.0
C0033860,psoriasis,55905,1561.0,15984.0
C0033860,psoriasis,57178,1561.0,16407.0
C0033860,psoriasis,5966,1561.0,4335.0
C0033860,psoriasis,5972,1561.0,4339.0
C0033860,psoriasis,5980,1561.0,4345.0
C0033860,psoriasis,6278,1561.0,4541.0
C0033860,psoriasis,63869,1561.0,17641.0
C0033860,psoriasis,63870,1561.0,17642.0
C0033860,psoriasis,64135,1561.0,17757.0
C0033860,psoriasis,643749,1561.0,14922.0
C0033860,psoriasis,64478,1561.0,17859.0
C0033860,psoriasis,65245,1561.0,18077.0
C0033860,psoriasis,6648,1561.0,4869.0
C0033860,psoriasis,6773,1561.0,4979.0
C0033860,psoriasis,6774,1561.0,4980.0
C0033860,psoriasis,7039,1561.0,5188.0
C0033860,psoriasis,7124,1561.0,5263.0
C0033860,psoriasis,7128,1561.0,5267.0
C0033860,psoriasis,7157,1561.0,5288.0
C0033860,psoriasis,7297,1561.0,5380.0
C0033860,psoriasis,7422,1561.0,5478.0
C0033860,psoriasis,7889,1561.0,5764.0
C0033860,psoriasis,79092,1561.0,8674.0
C0033860,psoriasis,81890,1561.0,9598.0
C0033860,psoriasis,831,1561.0,638.0
C0033860,psoriasis,84648,1561.0,10226.0
C0033860,psoriasis,847,1561.0,654.0
C0033860,psoriasis,85463,1561.0,10537.0
C0033860,psoriasis,864,1561.0,663.0
C0033860,psoriasis,8651,1561.0,6208.0
C0033860,psoriasis,8875,1561.0,6401.0
C0033860,psoriasis,8876,1561.0,6402.0
C0033860,psoriasis,90134,1561.0,11886.0
C0033860,psoriasis,9232,1561.0,6671.0
C0033860,psoriasis,9692,1561.0,7054.0
C0033860,psoriasis,9825,1561.0,7179.0
C0033860,psoriasis,9844,1561.0,7198.0
C0027726,nephrotic syndrome,1277,7607.0,962.0
C0027726,nephrotic syndrome,1282,7607.0,967.0
C0027726,nephrotic syndrome,1284,7607.0,968.0
C0027726,nephrotic syndrome,2,7607.0,1.0
C0027726,nephrotic syndrome,213,7607.0,151.0
C0027726,nephrotic syndrome,2152,7607.0,1588.0
C0027726,nephrotic syndrome,2247,7607.0,1661.0
C0027726,nephrotic syndrome,2262,7607.0,1676.0
C0027726,nephrotic syndrome,2981,7607.0,2126.0
C0027726,nephrotic syndrome,3123,7607.0,2245.0
C0027726,nephrotic syndrome,3291,7607.0,2375.0
C0027726,nephrotic syndrome,3558,7607.0,2539.0
C0027726,nephrotic syndrome,462,7607.0,353.0
C0027726,nephrotic syndrome,4690,7607.0,3347.0
C0027726,nephrotic syndrome,5054,7607.0,3625.0
C0027726,nephrotic syndrome,6648,7607.0,4869.0
C0027726,nephrotic syndrome,7018,7607.0,5168.0
C0027726,nephrotic syndrome,7040,7607.0,5189.0
C0027726,nephrotic syndrome,7827,7607.0,5736.0
C0027726,nephrotic syndrome,8440,7607.0,6033.0
C0027726,nephrotic syndrome,914,7607.0,699.0
C0024530,malaria,1012,6064.0,785.0
C0024530,malaria,114609,6064.0,13931.0
C0024530,malaria,1154,6064.0,891.0
C0024530,malaria,1378,6064.0,1035.0
C0024530,malaria,1401,6064.0,1055.0
C0024530,malaria,2213,6064.0,1639.0
C0024530,malaria,2532,6064.0,1782.0
