,Disease ID,Disease Name,Gene ID
77,C0033860,psoriasis,100271719
78,C0033860,psoriasis,10318
79,C0033860,psoriasis,10498
80,C0033860,psoriasis,10547
81,C0033860,psoriasis,10758
82,C0033860,psoriasis,10866
83,C0033860,psoriasis,117289
84,C0033860,psoriasis,125893
85,C0033860,psoriasis,1356
86,C0033860,psoriasis,1401
87,C0033860,psoriasis,140454
88,C0033860,psoriasis,1437
89,C0033860,psoriasis,149233
90,C0033860,psoriasis,163702
91,C0033860,psoriasis,23586
92,C0033860,psoriasis,2524
93,C0033860,psoriasis,2706
94,C0033860,psoriasis,285626
95,C0033860,psoriasis,29785
96,C0033860,psoriasis,3107
97,C0033860,psoriasis,338442
98,C0033860,psoriasis,348
99,C0033860,psoriasis,353143
100,C0033860,psoriasis,353144
101,C0033860,psoriasis,3553
102,C0033860,psoriasis,3565
103,C0033860,psoriasis,3569
104,C0033860,psoriasis,3593
105,C0033860,psoriasis,3596
106,C0033860,psoriasis,359825
107,C0033860,psoriasis,400957
108,C0033860,psoriasis,4288
109,C0033860,psoriasis,4792
110,C0033860,psoriasis,4843
111,C0033860,psoriasis,503613
112,C0033860,psoriasis,5111
113,C0033860,psoriasis,51561
114,C0033860,psoriasis,51752
115,C0033860,psoriasis,5271
116,C0033860,psoriasis,54620
117,C0033860,psoriasis,5468
118,C0033860,psoriasis,55350
119,C0033860,psoriasis,55770
120,C0033860,psoriasis,55905
121,C0033860,psoriasis,57178
122,C0033860,psoriasis,5966
123,C0033860,psoriasis,5972
124,C0033860,psoriasis,5980
125,C0033860,psoriasis,6278
126,C0033860,psoriasis,63869
127,C0033860,psoriasis,63870
128,C0033860,psoriasis,64135
129,C0033860,psoriasis,643749
130,C0033860,psoriasis,64478
131,C0033860,psoriasis,65245
132,C0033860,psoriasis,6648
133,C0033860,psoriasis,6773
134,C0033860,psoriasis,6774
135,C0033860,psoriasis,7039
136,C0033860,psoriasis,7124
137,C0033860,psoriasis,7128
138,C0033860,psoriasis,7157
139,C0033860,psoriasis,7297
